Pais,ID_INE,ID_EUROSTAT_n,ID_EUROSTAT_a,ID_UNSD,ID_ISO_a2,ID_ISO_a3,CONTINENT,REGIO_MON,CONTINENT_ANG,REGIO_MON_ANG,UE,POP_EST,pais_ANG,ADM0_DIF,MD_DATA_CANVI
Mònaco,119,1,FR,492,MC,MCO,Europa,Europa occidental,Europe,Western Europe,NA,32965,Monaco,0,2016
San Marino,129,47,SM,674,SM,SMR,Europa,Europa meridional,Europe,Southern Europe,NA,30324,San Marino,0,2016
Santa Seu,130,45,VA,336,VA,VAT,Europa,Europa meridional,Europe,Southern Europe,NA,826,Holy See (Vatican City State),0,2016
Guernsey,170,6,GB,831,GG,GGY,Europa,Europa septentrional,Europe,Northern Europe,NA,65870,Guernsey,1,2016
Svalbard i Jan Mayen,171,28,NO,744,SJ,SJM,Europa,Europa septentrional,Europe,Northern Europe,NA,NA,Svalbard and Jan Mayen,1,2016
Illa de Man,173,6,GB,833,IM,IMN,Europa,Europa septentrional,Europe,Northern Europe,NA,76512,Isle of Man,1,2016
Jersey,176,6,GB,832,JE,JEY,Europa,Europa septentrional,Europe,Northern Europe,NA,91626,Jersey,1,2016
Aland,177,32,FI,248,AX,ALA,Europa,Europa septentrional,Europe,Northern Europe,1,27153,Aland Islands,1,2016
Cap Verd,207,247,CV,132,CV,CPV,Àfrica,Àfrica occidental,Africa,Western Africa,NA,429474,Cabo Verde,0,2016
"Comores, les",209,375,KM,174,KM,COM,Àfrica,Àfrica oriental,Africa,Eastern Africa,NA,752438,Comoros,0,2016
São Tomé i Príncipe,238,311,ST,678,ST,STP,Àfrica,Àfrica central,Africa,Middle Africa,NA,212679,Sao Tome and Principe,0,2016
Seychelles,240,355,SC,690,SC,SYC,Àfrica,Àfrica oriental,Africa,Eastern Africa,NA,87476,Seychelles,0,2016
"Saint Helena, Ascenció i Tristan da Cunha",260,329,SH,654,SH,SHN,Àfrica,Àfrica occidental,Africa,Western Africa,NA,7637,"Saint Helena, Ascension and Tristan da Cunha",1,2016
"Reunió, la",261,1,FR,638,RE,REU,Àfrica,Àfrica oriental,Africa,Eastern Africa,1,NA,Reunion,1,2016
Mayotte,262,377,YT,175,YT,MYT,Àfrica,Àfrica oriental,Africa,Eastern Africa,1,NA,Mayotte,1,2016
Antigua i Barbuda,310,459,AG,28,AG,ATG,Amèrica,Carib,Americas,Caribbean,NA,85632,Antigua and Barbuda,0,2016
Barbados,312,469,BB,52,BB,BRB,Amèrica,Carib,Americas,Caribbean,NA,284589,Barbados,0,2016
Dominica,316,460,DM,212,DM,DMA,Amèrica,Carib,Americas,Caribbean,NA,72660,Dominica,0,2016
Grenada,318,473,GD,308,GD,GRD,Amèrica,Carib,Americas,Caribbean,NA,90739,Grenada,0,2016
Saint Vincent i les Grenadines,325,467,VC,670,VC,VCT,Amèrica,Carib,Americas,Caribbean,NA,104574,Saint Vincent and the Grenadines,0,2016
Saint Lucia,328,465,LC,662,LC,LCA,Amèrica,Carib,Americas,Caribbean,NA,160267,Saint Lucia,0,2016
Saint Kitts i Nevis,329,449,KN,659,KN,KNA,Amèrica,Carib,Americas,Caribbean,NA,40131,Saint Kitts and Nevis,0,2016
Saint-Pierre-et-Miquelon,370,408,PM,666,PM,SPM,Amèrica,Amèrica del nord,Americas,Northern America,NA,7051,Saint Pierre and Miquelon,1,2016
Illes Turks i Caicos,381,454,TC,796,TC,TCA,Amèrica,Carib,Americas,Caribbean,NA,22942,Turks and Caicos Islands,1,2016
Illes Verges dels Estats Units,382,457,VI,850,VI,VIR,Amèrica,Carib,Americas,Caribbean,NA,109825,"Virgin Islands, U.S.",1,2016
Guadalupe,383,1,FR,312,GP,GLP,Amèrica,Carib,Americas,Caribbean,1,NA,Guadeloupe,1,2016
Bermudes,384,413,BM,60,BM,BMU,Amèrica,Amèrica del nord,Americas,Northern America,NA,67837,Bermuda,1,2016
