Pais,ID_INE,ID_EUROSTAT_n,ID_EUROSTAT_a,ID_UNSD,ID_ISO_a2,ID_ISO_a3,CONTINENT,REGIO_MON,CONTINENT_ANG,REGIO_MON_ANG,UE,POP_EST,pais_ANG,ADM0_DIF,MD_DATA_CANVI,FIPS,ISO3,UN,NAME,AREA,POP2005,REGION,SUBREGION,LON,LAT
Albània,101,70,AL,8,AL,ALB,Europa,Europa meridional,Europe,Southern Europe,NA,3639453,Albania,0,2016,AL,ALB,8,Albania,2740,3153731,150,39,20.068,41.143
Àustria,102,38,AT,40,AT,AUT,Europa,Europa occidental,Europe,Western Europe,1,8210281,Austria,0,2016,AU,AUT,40,Austria,8245,8291979,150,155,14.912,47.683
Bèlgica,103,17,BE,56,BE,BEL,Europa,Europa occidental,Europe,Western Europe,1,10414336,Belgium,0,2016,BE,BEL,56,Belgium,0,10398049,150,155,4.664,50.643
Bulgària,104,68,BG,100,BG,BGR,Europa,Europa oriental,Europe,Eastern Europe,1,7204687,Bulgaria,0,2016,BU,BGR,100,Bulgaria,11063,7744591,150,151,25.231,42.761
Xipre,106,600,CY,196,CY,CYP,Àsia,Àsia occidental,Asia,Western Asia,1,531640,Cyprus,0,2016,CY,CYP,196,Cyprus,924,836321,142,145,33.219,35.043
Dinamarca,107,8,DK,208,DK,DNK,Europa,Europa septentrional,Europe,Northern Europe,1,5500510,Denmark,0,2016,DA,DNK,208,Denmark,4243,5416945,150,154,9.264,56.058
Espanya,108,11,ES,724,ES,ESP,Europa,Europa meridional,Europe,Southern Europe,1,40525002,Spain,0,2016,SP,ESP,724,Spain,49904,43397491,150,39,-3.649,40.227
Finlàndia,109,32,FI,246,FI,FIN,Europa,Europa septentrional,Europe,Northern Europe,1,5250275,Finland,0,2016,FI,FIN,246,Finland,30459,5246004,150,154,26.272,64.504
França,110,1,FR,250,FR,FRA,Europa,Europa occidental,Europe,Western Europe,1,64057792,France,0,2016,FR,FRA,250,France,55010,60990544,150,155,2.55,46.565
Grècia,111,9,GR,300,GR,GRC,Europa,Europa meridional,Europe,Southern Europe,1,10737428,Greece,0,2016,GR,GRC,300,Greece,12890,11099737,150,39,21.766,39.666
Hongria,112,64,HU,348,HU,HUN,Europa,Europa oriental,Europe,Eastern Europe,1,9905596,Hungary,0,2016,HU,HUN,348,Hungary,9210,10086387,150,151,19.134,47.07
Irlanda,113,7,IE,372,IE,IRL,Europa,Europa septentrional,Europe,Northern Europe,1,4203200,Ireland,0,2016,EI,IRL,372,Ireland,6889,4143294,150,154,-8.152,53.177
Islàndia,114,24,IS,352,IS,ISL,Europa,Europa septentrional,Europe,Northern Europe,NA,306694,Iceland,0,2016,IC,ISL,352,Iceland,10025,295732,150,154,-18.48,64.764
