"ID_INE_NUM_Provincia";"Nom_Provincia_Catala";"Nom_Provincia_INE";"ID_INE_NUM_CCAA";"Nom_CCAA";"MD_DATA_CANVI"
1;"Àlaba";"Araba/Álava";16;"País Basc";2016
3;"Alacant";"Alicante/Alacant";10;"Comunitat Valenciana";2016
2;"Albacete";"Albacete";8;"Castella - la Manxa";2016
4;"Almeria";"Almería";1;"Andalusia";2016
33;"Astúries";"Asturias";3;"Principat d'Astúries";2016
5;"Àvila";"Ávila";7;"Castella i Lleó";2016
6;"Badajoz";"Badajoz";11;"Extremadura";2016
8;"Barcelona";"Barcelona";9;"Catalunya";2016
48;"Biscaia";"Bizkaia";16;"País Basc";2016
9;"Burgos";"Burgos";7;"Castella i Lleó";2016
10;"Càceres";"Cáceres";11;"Extremadura";2016
11;"Cadis";"Cádiz";1;"Andalusia";2016
39;"Cantàbria";"Cantabria";6;"Cantàbria";2016
12;"Castelló de la Plana";"Castelló/Castellón";10;"Comunitat Valenciana";2016
51;"Ceuta";"Ceuta";18;"Ceuta";2016
13;"Ciudad Real";"Ciudad Real";8;"Castella - la Manxa";2016
16;"Conca";"Cuenca";8;"Castella - la Manxa";2016
14;"Còrdova";"Córdoba";1;"Andalusia";2016
15;"Corunya, la";"A Coruña";12;"Galícia";2016
17;"Girona";"Girona";9;"Catalunya";2016
18;"Granada";"Granada";1;"Andalusia";2016
19;"Guadalajara";"Guadalajara";8;"Castella - la Manxa";2016
20;"Guipúscoa";"Gipuzkoa";16;"País Basc";2016
21;"Huelva";"Huelva";1;"Andalusia";2016
7;"Illes Balears";"Illes Balears";4;"Illes Balears";2016
23;"Jaén";"Jaén";1;"Andalusia";2016
25;"Lleida";"Lleida";9;"Catalunya";2016
24;"Lleó";"León";7;"Castella i Lleó";2016
27;"Lugo";"Lugo";12;"Galícia";2016
28;"Madrid";"Madrid";13;"Comunitat de Madrid";2016
29;"Màlaga";"Málaga";1;"Andalusia";2016
52;"Melilla";"Melilla";19;"Melilla";2016
30;"Múrcia";"Murcia";14;"Regió de Múrcia";2016
31;"Navarra";"Navarra";15;"Comunitat Foral de Navarra";2016
22;"Osca";"Huesca";2;"Aragó";2016
32;"Ourense";"Ourense";12;"Galícia";2016
34;"Palència";"Palencia";7;"Castella i Lleó";2016
35;"Palmas, Las";"Las Palmas";5;"Canàries";2016
