Capital,Provincia,CPRO,Comunidad,CODAUTO,Longitud,Latitud
Vitoria-Gasteiz,Araba/Álava,01,País Vasco,16,-2.667893,42.84641
Albacete,Albacete,02,Castilla La Mancha,8,-1.86007,38.99765
Alicante/Alacant,Alicante/Alacant,03,Valencia,10,-0.481006,38.3452
Almería,Almería,04,Andalucía,1,-2.467922,36.84016
Oviedo,Asturias,33,Asturias,3,-5.844759,43.36026
Ávila,Ávila,05,Castilla León,7,-4.700323,40.65642
Badajoz,Badajoz,06,Extremadura,11,-6.970284,38.8786
Palma,"Balears, Illes",07,Islas Baleares,4,2.649966,39.56951
Barcelona,Barcelona,08,Catalunya,9,2.169919,41.38792
Burgos,Burgos,09,Castilla León,7,-3.699731,42.34087
Cáceres,Cáceres,10,Extremadura,11,-6.37076,39.47618
Cádiz,Cádiz,11,Andalucía,1,-6.292657,36.52969
Santander,Cantabria,39,Cantabria,6,-3.807934,43.46096
Castellón de la Plana/Castelló de la Plana,Castellón/Castelló,12,Valencia,10,-0.0376709,39.98598
Ciudad Real,Ciudad Real,13,Castilla La Mancha,8,-3.927263,38.9861
Córdoba,Córdoba,14,Andalucía,1,-4.779152,37.88473
Coruña (A),"Coruña, A",15,Galicia,12,-8.395835,43.37087
Cuenca,Cuenca,16,Castilla La Mancha,8,-2.134005,40.07183
Girona,Girona,17,Catalunya,9,2.8237,41.9818
Granada,Granada,18,Andalucía,1,-3.597929,37.17649
Guadalajara,Guadalajara,19,Castilla La Mancha,8,-3.166493,40.62981
Donostia-San Sebastián,Gipuzkoa,20,País Vasco,16,-1.984421,43.32074
Huelva,Huelva,21,Andalucía,1,-6.949555,37.2571
Huesca,Huesca,22,Aragón,2,-0.408898,42.1401
Jaén,Jaén,23,Andalucía,1,-3.789518,37.76574
León,León,24,Castilla León,7,-5.571752,42.59988
Lleida,Lleida,25,Catalunya,9,0.6257825,41.61415
Lugo,Lugo,27,Galicia,12,-7.555851,43.01208
Madrid,Madrid,28,Madrid,13,-3.700346,40.41669
Málaga,Málaga,29,Andalucía,1,-4.420019,36.71965
Murcia,Murcia,30,Murcia,14,-1.12989,37.98344
Pamplona/Iruña,Navarra,31,Navarra,15,-1.646767,42.81721
Ourense,Ourense,32,Galicia,12,-7.864641,42.34001
Palencia,Palencia,34,Castilla León,7,-4.531175,42.01246
Palmas de Gran Canaria (Las),"Palmas, Las",35,Canarias,5,-15.43001,28.12482
Pontevedra,Pontevedra,36,Galicia,12,-8.648053,42.43362
Logroño,"Rioja, La",26,La Rioja,17,-2.449995,42.46577
Salamanca,Salamanca,37,Castilla León,7,-5.663047,40.96497
Segovia,Segovia,40,Castilla León,7,-4.119209,40.94943
Sevilla,Sevilla,41,Andalucía,1,-5.996295,37.38264
Soria,Soria,42,Castilla León,7,-2.464921,41.7636
Tarragona,Tarragona,43,Catalunya,9,1.24533,41.11866
Santa Cruz de Tenerife,Santa Cruz de Tenerife,38,Canarias,5,-16.25486,28.46981
Teruel,Teruel,44,Aragón,2,-1.10691,40.34411
Toledo,Toledo,45,Castilla La Mancha,8,-4.024476,39.85678
Valencia,Valencia/València,46,Valencia,10,-0.3768049,39.47024
Valladolid,Valladolid,47,Castilla León,7,-4.728388,41.65295
Bilbao,Bizkaia,48,País Vasco,16,-2.923441,43.25696
Zamora,Zamora,49,Castilla León,7,-5.743778,41.50368
Zaragoza,Zaragoza,50,Aragón,2,-0.8765379,41.65629
Ceuta,Ceuta,51,Ceuta y Melilla,18,-5.316195,35.88829
Melilla,Melilla,52,Ceuta y Melilla,19,-2.938794,35.29234
