id;level;parent_id;name;lat;lon;min_lat;max_lat;min_lon;max_lon;geometry_wkt
2655238;3;631532;Barcelona;414.143.946.467.614;205.417.834.619.707;414.120.202.743.616;414.167.689.882.418;205.102.436.190.844;20.573.325.350.486;POLYGON((2.05102436190844 41.412282722036,2.05137282029325 41.4167689882418,2.0573325350486 41.4165064994147,2.05698366982195 41.4120202743616,2.05102436190844 41.412282722036))
2655239;3;631532;Barcelona;41.418.880.889.435;205.452.704.747.321;414.165.064.994.147;414.212.552.485.306;205.137.282.029.325;205.768.147.926.049;POLYGON((2.05137282029325 41.4167689882418,2.05172135757206 41.4212552485306,2.05768147926049 41.4209927185453,2.0573325350486 41.4165064994147,2.05137282029325 41.4167689882418))
2655240;3;631532;Barcelona;414.186.182.263.402;206.048.692.619.662;414.162.437.032.356;414.209.927.185.453;20.573.325.350.486;206.364.152.194.319;POLYGON((2.0573325350486 41.4165064994147,2.05768147926049 41.4209927185453,2.06364152194319 41.4207298811601,2.06329217081873 41.4162437032356,2.0573325350486 41.4165064994147))
2655241;3;631532;Barcelona;41.414.132.024.846;206.013.781.804.328;41.411.757.519.383;414.165.064.994.147;205.698.366.982.195;206.329.217.081.873;POLYGON((2.05698366982195 41.4120202743616,2.0573325350486 41.4165064994147,2.06329217081873 41.4162437032356,2.06294289877072 41.411757519383,2.05698366982195 41.4120202743616))
2655243;3;631533;Barcelona;414.099.083.981.686;205.382.972.385.032;414.075.340.433.869;41.412.282.722.036;205.067.598.239.717;205.698.366.982.195;POLYGON((2.05067598239717 41.4077964499142,2.05102436190844 41.412282722036,2.05698366982195 41.4120202743616,2.05663488356004 41.4075340433869,2.05067598239717 41.4077964499142))
2655244;3;631533;Barcelona;414.096.458.174.269;205.978.878.891.054;414.072.713.296.031;414.120.202.743.616;205.663.488.356.004;206.294.289.877.072;POLYGON((2.05663488356004 41.4075340433869,2.05698366982195 41.4120202743616,2.06294289877072 41.411757519383,2.06259370577864 41.4072713296031,2.05663488356004 41.4075340433869))
2655254;3;631536;Barcelona;41.432.339.581.932;205.557.362.508.271;414.299.651.390.359;414.347.139.938.878;205.241.866.889.358;205.872.878.601.252;POLYGON((2.05241866889358 41.4302277513544,2.05276744297727 41.4347139938878,2.05872878601252 41.4344513403944,2.05837960472194 41.4299651390359,2.05241866889358 41.4302277513544))
2655255;3;631536;Barcelona;414.368.258.009.205;205.592.264.228.122;414.344.513.403.944;414.392.002.305.013;205.276.744.297.727;205.907.804.637.036;POLYGON((2.05276744297727 41.4347139938878,2.05311629603689 41.4392002305013,2.05907804637036 41.4389375358273,2.05872878601252 41.4344513403944,2.05276744297727 41.4347139938878))
2655256;3;631536;Barcelona;414.365.629.730.524;20.618.841.494.261;414.341.883.793.574;414.389.375.358.273;205.872.878.601.252;206.503.971.761.605;POLYGON((2.05872878601252 41.4344513403944,2.05907804637036 41.4389375358273,2.06503971761605 41.4386745335619,2.06469004998052 41.4341883793574,2.05872878601252 41.4344513403944))
2655257;3;631536;Barcelona;414.320.767.952.656;206.153.472.498.527;414.297.022.192.218;414.344.513.403.944;205.837.960.472.194;206.469.004.998.052;POLYGON((2.05837960472194 41.4299651390359,2.05872878601252 41.4344513403944,2.06469004998052 41.4341883793574,2.06434046150355 41.4297022192218,2.05837960472194 41.4299651390359))
2655258;3;631537;Barcelona;414.233.671.261.884;205.487.582.769.919;414.209.927.185.453;414.257.415.029.017;205.172.135.757.206;20.580.305.024.781;POLYGON((2.05172135757206 41.4212552485306,2.05206997376535 41.4257415029017,2.0580305024781 41.4254789317526,2.05768147926049 41.4209927185453,2.05172135757206 41.4212552485306))
2655259;3;631537;Barcelona;41.427.853.357.021;205.522.468.689.553;414.254.789.317.526;414.302.277.513.544;205.206.997.376.535;205.837.960.472.194;POLYGON((2.05206997376535 41.4257415029017,2.05241866889358 41.4302277513544,2.05837960472194 41.4299651390359,2.0580305024781 41.4254789317526,2.05206997376535 41.4257415029017))
2655260;3;631537;Barcelona;414.275.906.115.507;206.118.537.964.711;414.252.160.531.557;414.299.651.390.359;20.580.305.024.781;206.434.046.150.355;POLYGON((2.0580305024781 41.4254789317526,2.05837960472194 41.4299651390359,2.06434046150355 41.4297022192218,2.06399095216462 41.4252160531557,2.0580305024781 41.4254789317526))
2655261;3;631537;Barcelona;414.231.044.219.087;206.083.611.339.106;414.207.298.811.601;414.254.789.317.526;205.768.147.926.049;206.399.095.216.462;POLYGON((2.05768147926049 41.4209927185453,2.0580305024781 41.4254789317526,2.06399095216462 41.4252160531557,2.06364152194319 41.4207298811601,2.05768147926049 41.4209927185453))
2656272;3;631790;Barcelona;414.091.197.341.318;207.170.668.193.947;414.067.449.803.132;414.114.944.571.118;206.855.244.896.182;207.486.111.940.924;POLYGON((2.06855244896182 41.4070083085747,2.06890204866354 41.4114944571118,2.07486111940924 41.4112310875597,2.07451111301839 41.4067449803132,2.06855244896182 41.4070083085747))
2656273;3;631790;Barcelona;414.046.336.032.686;207.135.691.847.867;414.022.588.671.291;414.070.083.085.747;20.682.029.283.867;207.451.111.301.839;POLYGON((2.0682029283867 41.4025221541055,2.06855244896182 41.4070083085747,2.07451111301839 41.4067449803132,2.0741611858453 41.4022588671291,2.0682029283867 41.4025221541055))
2656274;3;631791;Barcelona;414.138.690.956.082;206.609.721.086.889;414.114.944.571.118;414.162.437.032.356;206.294.289.877.072;20.692.517.275.124;POLYGON((2.06294289877072 41.411757519383,2.06329217081873 41.4162437032356,2.0692517275124 41.415980599716,2.06890204866354 41.4114944571118,2.06294289877072 41.411757519383))
2656275;3;631791;Barcelona;414.183.552.558.751;206.644.672.587.894;41.415.980.599.716;414.207.298.811.601;206.329.217.081.873;206.960.148.552.892;POLYGON((2.06329217081873 41.4162437032356,2.06364152194319 41.4207298811601,2.06960148552892 41.4204667363865,2.0692517275124 41.415980599716,2.06329217081873 41.4162437032356))
2656276;3;631791;Barcelona;414.180.919.780.516;207.240.644.642.895;414.157.171.888.677;414.204.667.363.865;20.692.517.275.124;207.556.136.992.644;POLYGON((2.0692517275124 41.415980599716,2.06960148552892 41.4204667363865,2.07556136992644 41.4202032842365,2.07521120503841 41.4157171888677,2.0692517275124 41.415980599716))
2656277;3;631791;Barcelona;414.136.058.590.598;207.205.652.458.271;414.112.310.875.597;41.415.980.599.716;206.890.204.866.354;207.521.120.503.841;POLYGON((2.06890204866354 41.4114944571118,2.0692517275124 41.415980599716,2.07521120503841 41.4157171888677,2.07486111940924 41.4112310875597,2.06890204866354 41.4114944571118))
2656278;3;631792;Barcelona;414.133.423.152.124;207.801.575.909.352;414.109.674.107.385;414.157.171.888.677;207.486.111.940.924;208.117.060.330.554;POLYGON((2.07486111940924 41.4112310875597,2.07521120503841 41.4157171888677,2.08117060330554 41.4154534707024,2.08082011091662 41.4109674107385,2.07486111940924 41.4112310875597))
2656279;3;631792;Barcelona;414.178.283.928.813;207.836.608.775.539;414.154.534.707.024;414.202.032.842.365;207.521.120.503.841;208.152.117.504.453;POLYGON((2.07521120503841 41.4157171888677,2.07556136992644 41.4202032842365,2.08152117504453 41.4199395247215,2.08117060330554 41.4154534707024,2.07521120503841 41.4157171888677))
2656280;3;631792;Barcelona;41.417.564.500.376;208.432.564.976.709;414.151.894.452.319;414.199.395.247.215;208.117.060.330.554;208.748.090.079.197;POLYGON((2.08117060330554 41.4154534707024,2.08152117504453 41.4199395247215,2.08748090079197 41.4196754578535,2.08712992222261 41.4151894452319,2.08117060330554 41.4154534707024))
2656281;3;631792;Barcelona;414.130.784.640.778;208.397.491.431.016;414.107.034.266.599;414.154.534.707.024;208.082.011.091.662;208.712.992.222.261;POLYGON((2.08082011091662 41.4109674107385,2.08117060330554 41.4154534707024,2.08712992222261 41.4151894452319,2.08677902309453 41.4107034266599,2.08082011091662 41.4109674107385))
2656282;3;631793;Barcelona;414.043.701.420.503;20.773.153.396.318;414.019.952.729.791;414.067.449.803.132;20.741.611.858.453;208.046.969.785.719;POLYGON((2.0741611858453 41.4022588671291,2.07451111301839 41.4067449803132,2.08046969785719 41.4064813448305,2.08011936410668 41.4019952729791,2.0741611858453 41.4022588671291))
